"filename", "language", "Properties", "JavaScript", "SCSS", "TypeScript JSX", "XML", "comment", "blank", "total"
"c:\Users\Antik.DESKTOP-US90PRM\Documents\Agaupolis\backend\.env", "Properties", 2, 0, 0, 0, 0, 0, 0, 2
"c:\Users\Antik.DESKTOP-US90PRM\Documents\Agaupolis\backend\models\user.model.js", "JavaScript", 0, 15, 0, 0, 0, 0, 4, 19
"c:\Users\Antik.DESKTOP-US90PRM\Documents\Agaupolis\backend\server.js", "JavaScript", 0, 24, 0, 0, 0, 0, 5, 29
"c:\Users\Antik.DESKTOP-US90PRM\Documents\Agaupolis\frontend\src\App.tsx", "TypeScript JSX", 0, 0, 0, -4, 0, 0, 1, -3
"c:\Users\Antik.DESKTOP-US90PRM\Documents\Agaupolis\frontend\src\assets\Moon Phase.svg", "XML", 0, 0, 0, 0, -9, 0, -1, -10
"c:\Users\Antik.DESKTOP-US90PRM\Documents\Agaupolis\frontend\src\assets\MoonPhase.svg", "XML", 0, 0, 0, 0, 16, 0, 1, 17
"c:\Users\Antik.DESKTOP-US90PRM\Documents\Agaupolis\frontend\src\components\HeaderBar.tsx", "TypeScript JSX", 0, 0, 0, 8, 0, 0, 2, 10
"c:\Users\Antik.DESKTOP-US90PRM\Documents\Agaupolis\frontend\src\components\Input1.tsx", "TypeScript JSX", 0, 0, 0, 13, 0, 0, 2, 15
"c:\Users\Antik.DESKTOP-US90PRM\Documents\Agaupolis\frontend\src\components\animated-routes.tsx", "TypeScript JSX", 0, 0, 0, 14, 0, 0, 2, 16
"c:\Users\Antik.DESKTOP-US90PRM\Documents\Agaupolis\frontend\src\components\dark-mode-switch.tsx", "TypeScript JSX", 0, 0, 0, -31, 0, 0, -2, -33
"c:\Users\Antik.DESKTOP-US90PRM\Documents\Agaupolis\frontend\src\components\footer.tsx", "TypeScript JSX", 0, 0, 0, 25, 0, 0, 2, 27
"c:\Users\Antik.DESKTOP-US90PRM\Documents\Agaupolis\frontend\src\components\styles\HeaderBar.module.scss", "SCSS", 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\Antik.DESKTOP-US90PRM\Documents\Agaupolis\frontend\src\components\styles\button1.module.scss", "SCSS", 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\Antik.DESKTOP-US90PRM\Documents\Agaupolis\frontend\src\components\styles\footer.module.scss", "SCSS", 0, 0, 47, 0, 0, 0, 3, 50
"c:\Users\Antik.DESKTOP-US90PRM\Documents\Agaupolis\frontend\src\components\styles\input1.module.scss", "SCSS", 0, 0, 18, 0, 0, 0, 1, 19
"c:\Users\Antik.DESKTOP-US90PRM\Documents\Agaupolis\frontend\src\pages\landingPage.tsx", "TypeScript JSX", 0, 0, 0, 3, 0, -1, -1, 1
"c:\Users\Antik.DESKTOP-US90PRM\Documents\Agaupolis\frontend\src\pages\login.tsx", "TypeScript JSX", 0, 0, 0, 22, 0, 9, 2, 33
"c:\Users\Antik.DESKTOP-US90PRM\Documents\Agaupolis\frontend\src\pages\register.tsx", "TypeScript JSX", 0, 0, 0, 33, 0, 10, 2, 45
"c:\Users\Antik.DESKTOP-US90PRM\Documents\Agaupolis\frontend\src\styles\LandingPage.module.scss", "SCSS", 0, 0, 8, 0, 0, 0, 3, 11
"c:\Users\Antik.DESKTOP-US90PRM\Documents\Agaupolis\frontend\src\styles\index.scss", "SCSS", 0, 0, 10, 0, 0, 0, 3, 13
"c:\Users\Antik.DESKTOP-US90PRM\Documents\Agaupolis\frontend\src\styles\login.module.scss", "SCSS", 0, 0, 80, 0, 0, 0, 10, 90
"Total", "-", 2, 39, 168, 83, 7, 18, 41, 358
