"filename", "language", "JavaScript", "XML", "SCSS", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\Antik.DESKTOP-US90PRM\Documents\fucktypescript\backend\controllers\authControllers.js", "JavaScript", 59, 0, 0, 0, 20, 18, 97
"c:\Users\Antik.DESKTOP-US90PRM\Documents\fucktypescript\backend\helpers\auth.js", "JavaScript", 9, 0, 0, 0, 3, 4, 16
"c:\Users\Antik.DESKTOP-US90PRM\Documents\fucktypescript\backend\helpers\checks.js", "JavaScript", 36, 0, 0, 0, 7, 8, 51
"c:\Users\Antik.DESKTOP-US90PRM\Documents\fucktypescript\backend\helpers\encrypt.js", "JavaScript", 15, 0, 0, 0, 0, 3, 18
"c:\Users\Antik.DESKTOP-US90PRM\Documents\fucktypescript\backend\models\user.js", "JavaScript", 12, 0, 0, 0, 0, 4, 16
"c:\Users\Antik.DESKTOP-US90PRM\Documents\fucktypescript\backend\routes\authRoutes.js", "JavaScript", 15, 0, 0, 0, 6, 7, 28
"c:\Users\Antik.DESKTOP-US90PRM\Documents\fucktypescript\backend\server.js", "JavaScript", 21, 0, 0, 0, 5, 6, 32
"c:\Users\Antik.DESKTOP-US90PRM\Documents\fucktypescript\frontend\public\vite.svg", "XML", 0, 1, 0, 0, 0, 0, 1
"c:\Users\Antik.DESKTOP-US90PRM\Documents\fucktypescript\frontend\src\App.jsx", "JavaScript JSX", 0, 0, 0, 15, 0, 3, 18
"c:\Users\Antik.DESKTOP-US90PRM\Documents\fucktypescript\frontend\src\assets\MoonPhase.svg", "XML", 0, 16, 0, 0, 0, 1, 17
"c:\Users\Antik.DESKTOP-US90PRM\Documents\fucktypescript\frontend\src\components\HeaderBar.jsx", "JavaScript JSX", 0, 0, 0, 8, 0, 2, 10
"c:\Users\Antik.DESKTOP-US90PRM\Documents\fucktypescript\frontend\src\components\Input1.jsx", "JavaScript JSX", 0, 0, 0, 16, 0, 2, 18
"c:\Users\Antik.DESKTOP-US90PRM\Documents\fucktypescript\frontend\src\components\blurred-spheres.jsx", "JavaScript JSX", 0, 0, 0, 6, 0, 1, 7
"c:\Users\Antik.DESKTOP-US90PRM\Documents\fucktypescript\frontend\src\components\button1.jsx", "JavaScript JSX", 0, 0, 0, 8, 0, 2, 10
"c:\Users\Antik.DESKTOP-US90PRM\Documents\fucktypescript\frontend\src\components\button2.jsx", "JavaScript JSX", 0, 0, 0, 8, 0, 2, 10
"c:\Users\Antik.DESKTOP-US90PRM\Documents\fucktypescript\frontend\src\components\footer.jsx", "JavaScript JSX", 0, 0, 0, 25, 0, 2, 27
"c:\Users\Antik.DESKTOP-US90PRM\Documents\fucktypescript\frontend\src\components\styles\HeaderBar.module.scss", "SCSS", 0, 0, 4, 0, 0, 1, 5
"c:\Users\Antik.DESKTOP-US90PRM\Documents\fucktypescript\frontend\src\components\styles\blurred-spheres.module.scss", "SCSS", 0, 0, 7, 0, 0, 0, 7
"c:\Users\Antik.DESKTOP-US90PRM\Documents\fucktypescript\frontend\src\components\styles\button1.module.scss", "SCSS", 0, 0, 25, 0, 0, 2, 27
"c:\Users\Antik.DESKTOP-US90PRM\Documents\fucktypescript\frontend\src\components\styles\button2.module.scss", "SCSS", 0, 0, 16, 0, 0, 0, 16
"c:\Users\Antik.DESKTOP-US90PRM\Documents\fucktypescript\frontend\src\components\styles\dark-mode-switch.scss", "SCSS", 0, 0, 0, 0, 0, 1, 1
"c:\Users\Antik.DESKTOP-US90PRM\Documents\fucktypescript\frontend\src\components\styles\footer.module.scss", "SCSS", 0, 0, 47, 0, 0, 3, 50
"c:\Users\Antik.DESKTOP-US90PRM\Documents\fucktypescript\frontend\src\components\styles\input1.module.scss", "SCSS", 0, 0, 18, 0, 0, 1, 19
"c:\Users\Antik.DESKTOP-US90PRM\Documents\fucktypescript\frontend\src\main.jsx", "JavaScript JSX", 0, 0, 0, 9, 0, 2, 11
"c:\Users\Antik.DESKTOP-US90PRM\Documents\fucktypescript\frontend\src\pages\clientportal.jsx", "JavaScript JSX", 0, 0, 0, 7, 0, 1, 8
"c:\Users\Antik.DESKTOP-US90PRM\Documents\fucktypescript\frontend\src\pages\landingPage.jsx", "JavaScript JSX", 0, 0, 0, 43, 9, 8, 60
"c:\Users\Antik.DESKTOP-US90PRM\Documents\fucktypescript\frontend\src\pages\login.jsx", "JavaScript JSX", 0, 0, 0, 63, 9, 7, 79
"c:\Users\Antik.DESKTOP-US90PRM\Documents\fucktypescript\frontend\src\styles\LandingPage.module.scss", "SCSS", 0, 0, 71, 0, 3, 5, 79
"c:\Users\Antik.DESKTOP-US90PRM\Documents\fucktypescript\frontend\src\styles\index.scss", "SCSS", 0, 0, 20, 0, 0, 4, 24
"c:\Users\Antik.DESKTOP-US90PRM\Documents\fucktypescript\frontend\src\styles\login.module.scss", "SCSS", 0, 0, 80, 0, 0, 10, 90
"c:\Users\Antik.DESKTOP-US90PRM\Documents\fucktypescript\frontend\vite.config.js", "JavaScript", 5, 0, 0, 0, 1, 2, 8
"Total", "-", 172, 17, 288, 208, 63, 112, 860
