"filename", "language", "JavaScript", "SCSS", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\Antik.DESKTOP-US90PRM\Documents\fucktypescript\backend\controllers\authControllers.js", "JavaScript", 4, 0, 0, 0, -1, 3
"c:\Users\Antik.DESKTOP-US90PRM\Documents\fucktypescript\backend\helpers\auth.js", "JavaScript", 7, 0, 0, 0, 0, 7
"c:\Users\Antik.DESKTOP-US90PRM\Documents\fucktypescript\frontend\src\components\styles\HeaderBar.module.scss", "SCSS", 0, 1, 0, 0, 0, 1
"c:\Users\Antik.DESKTOP-US90PRM\Documents\fucktypescript\frontend\src\pages\clientportal.jsx", "JavaScript JSX", 0, 0, -34, -49, -6, -89
"c:\Users\Antik.DESKTOP-US90PRM\Documents\fucktypescript\frontend\src\pages\landingPage.jsx", "JavaScript JSX", 0, 0, 4, 0, 0, 4
"c:\Users\Antik.DESKTOP-US90PRM\Documents\fucktypescript\frontend\src\pages\login.jsx", "JavaScript JSX", 0, 0, -2, 2, 1, 1
"c:\Users\Antik.DESKTOP-US90PRM\Documents\fucktypescript\frontend\src\pages\template.jsx", "JavaScript JSX", 0, 0, 12, 0, 2, 14
"c:\Users\Antik.DESKTOP-US90PRM\Documents\fucktypescript\frontend\src\styles\LandingPage.module.scss", "SCSS", 0, 1, 0, 0, 0, 1
"c:\Users\Antik.DESKTOP-US90PRM\Documents\fucktypescript\frontend\src\styles\clientportal.module.scss", "SCSS", 0, 21, 0, 0, 3, 24
"c:\Users\Antik.DESKTOP-US90PRM\Documents\fucktypescript\frontend\src\styles\template.module.scss", "SCSS", 0, 23, 0, 0, 3, 26
"Total", "-", 11, 46, -20, -47, 2, -8
