"filename", "language", "JavaScript", "JavaScript JSX", "SCSS", "XML", "comment", "blank", "total"
"c:\Users\Antik.DESKTOP-US90PRM\Documents\Agaupolis\backend\controllers\auth.js", "JavaScript", 49, 0, 0, 0, 14, 12, 75
"c:\Users\Antik.DESKTOP-US90PRM\Documents\Agaupolis\backend\controllers\authControllers.js", "JavaScript", -50, 0, 0, 0, -14, -13, -77
"c:\Users\Antik.DESKTOP-US90PRM\Documents\Agaupolis\backend\controllers\transactions.js", "JavaScript", 60, 0, 0, 0, 14, 3, 77
"c:\Users\Antik.DESKTOP-US90PRM\Documents\Agaupolis\backend\controllers\user.js", "JavaScript", 19, 0, 0, 0, 1, 4, 24
"c:\Users\Antik.DESKTOP-US90PRM\Documents\Agaupolis\backend\controllers\userController.js", "JavaScript", -20, 0, 0, 0, -1, -3, -24
"c:\Users\Antik.DESKTOP-US90PRM\Documents\Agaupolis\backend\helpers\auth.js", "JavaScript", 4, 0, 0, 0, 0, 1, 5
"c:\Users\Antik.DESKTOP-US90PRM\Documents\Agaupolis\backend\models\transaction.js", "JavaScript", 14, 0, 0, 0, 0, 4, 18
"c:\Users\Antik.DESKTOP-US90PRM\Documents\Agaupolis\backend\models\user.js", "JavaScript", 5, 0, 0, 0, 0, 0, 5
"c:\Users\Antik.DESKTOP-US90PRM\Documents\Agaupolis\backend\routes\authRoutes.js", "JavaScript", 2, 0, 0, 0, 0, 0, 2
"c:\Users\Antik.DESKTOP-US90PRM\Documents\Agaupolis\frontend\src\App.jsx", "JavaScript JSX", 0, 4, 0, 0, 0, 0, 4
"c:\Users\Antik.DESKTOP-US90PRM\Documents\Agaupolis\frontend\src\assets\Key.svg", "XML", 0, 0, 0, 9, 0, 1, 10
"c:\Users\Antik.DESKTOP-US90PRM\Documents\Agaupolis\frontend\src\components\HeaderBar.jsx", "JavaScript JSX", 0, 30, 0, 0, 0, 0, 30
"c:\Users\Antik.DESKTOP-US90PRM\Documents\Agaupolis\frontend\src\components\account-history.jsx", "JavaScript JSX", 0, 8, 0, 0, 0, -2, 6
"c:\Users\Antik.DESKTOP-US90PRM\Documents\Agaupolis\frontend\src\components\styles\HeaderBar.module.scss", "SCSS", 0, 0, -29, 0, 0, -1, -30
"c:\Users\Antik.DESKTOP-US90PRM\Documents\Agaupolis\frontend\src\components\styles\account-history.module.scss", "SCSS", 0, 0, 39, 0, 0, 0, 39
"c:\Users\Antik.DESKTOP-US90PRM\Documents\Agaupolis\frontend\src\components\styles\buttonStyle.scss", "SCSS", 0, 0, 30, 0, 0, 1, 31
"c:\Users\Antik.DESKTOP-US90PRM\Documents\Agaupolis\frontend\src\pages\clientportal.jsx", "JavaScript JSX", 0, 39, 0, 0, 0, 3, 42
"c:\Users\Antik.DESKTOP-US90PRM\Documents\Agaupolis\frontend\src\pages\deposit.jsx", "JavaScript JSX", 0, 27, 0, 0, 7, 2, 36
"c:\Users\Antik.DESKTOP-US90PRM\Documents\Agaupolis\frontend\src\pages\withdrawal.jsx", "JavaScript JSX", 0, 27, 0, 0, 7, 2, 36
"c:\Users\Antik.DESKTOP-US90PRM\Documents\Agaupolis\frontend\src\styles\clientportal.module.scss", "SCSS", 0, 0, 9, 0, 0, 1, 10
"c:\Users\Antik.DESKTOP-US90PRM\Documents\Agaupolis\frontend\src\styles\login.module.scss", "SCSS", 0, 0, 4, 0, 0, 0, 4
"Total", "-", 83, 135, 53, 9, 28, 15, 323
